country,year,pop,continent,lifeExp,gdpPercap
Albania,1982,2780097.0,Europe,70.42,3630.880722
Albania,1987,3075321.0,Europe,72.0,3738.932735
Albania,1992,3326498.0,Europe,71.581,2497.437901
Albania,1997,3428038.0,Europe,72.95,3193.054604
Albania,2002,3508512.0,Europe,75.651,4604.211737
Albania,2007,3600523.0,Europe,76.423,5937.029526
Algeria,2002,31287142.0,Africa,70.994,5288.040382
Algeria,2007,33333216.0,Africa,72.301,6223.367465
Argentina,1987,31620918.0,Americas,70.774,9139.671389
Argentina,1992,33958947.0,Americas,71.868,9308.41871
Argentina,1997,36203463.0,Americas,73.275,10967.28195
Argentina,2002,38331121.0,Americas,74.34,8797.640716
Argentina,2007,40301927.0,Americas,75.32,12779.37964
Australia,1957,9712569.0,Oceania,70.33,10949.64959
Australia,1962,10794968.0,Oceania,70.93,12217.22686
Australia,1967,11872264.0,Oceania,71.1,14526.12465
Australia,1972,13177000.0,Oceania,71.93,16788.62948
Australia,1977,14074100.0,Oceania,73.49,18334.19751
Australia,1982,15184200.0,Oceania,74.74,19477.00928
Australia,1987,16257249.0,Oceania,76.32,21888.88903
Australia,1992,17481977.0,Oceania,77.56,23424.76683
Australia,1997,18565243.0,Oceania,78.83,26997.93657
Australia,2002,19546792.0,Oceania,80.37,30687.75473
Australia,2007,20434176.0,Oceania,81.235,34435.36744
Austria,1967,7376998.0,Europe,70.14,12834.6024
Austria,1972,7544201.0,Europe,70.63,16661.6256
Austria,1977,7568430.0,Europe,72.17,19749.4223
Austria,1982,7574613.0,Europe,73.18,21597.08362
Austria,1987,7578903.0,Europe,74.94,23687.82607
Austria,1992,7914969.0,Europe,76.04,27042.01868
Austria,1997,8069876.0,Europe,77.51,29095.92066
Austria,2002,8148312.0,Europe,78.98,32417.60769
Austria,2007,8199783.0,Europe,79.829,36126.4927
Bahrain,1987,454612.0,Asia,70.75,18524.02406
Bahrain,1992,529491.0,Asia,72.601,19035.57917
Bahrain,1997,598561.0,Asia,73.925,20292.01679
Bahrain,2002,656397.0,Asia,74.795,23403.55927
Bahrain,2007,708573.0,Asia,75.635,29796.04834
Belgium,1962,9218400.0,Europe,70.25,10991.20676
Belgium,1967,9556500.0,Europe,70.94,13149.04119
Belgium,1972,9709100.0,Europe,71.44,16672.14356
Belgium,1977,9821800.0,Europe,72.8,19117.97448
Belgium,1982,9856303.0,Europe,73.93,20979.84589
Belgium,1987,9870200.0,Europe,75.35,22525.56308
Belgium,1992,10045622.0,Europe,76.46,25575.57069
Belgium,1997,10199787.0,Europe,77.53,27561.19663
Belgium,2002,10311970.0,Europe,78.32,30485.88375
Belgium,2007,10392226.0,Europe,79.441,33692.60508
Bosnia and Herzegovina,1982,4172693.0,Europe,70.69,4126.613157
Bosnia and Herzegovina,1987,4338977.0,Europe,71.14,4314.114757
Bosnia and Herzegovina,1992,4256013.0,Europe,72.178,2546.781445
Bosnia and Herzegovina,1997,3607000.0,Europe,73.244,4766.355904
Bosnia and Herzegovina,2002,4165416.0,Europe,74.09,6018.975239
Bosnia and Herzegovina,2007,4552198.0,Europe,74.852,7446.298803
Brazil,2002,179914212.0,Americas,71.006,8131.212843
Brazil,2007,190010647.0,Americas,72.39,9065.800825
Bulgaria,1967,8310226.0,Europe,70.42,5577.0028
Bulgaria,1972,8576200.0,Europe,70.9,6597.494398
Bulgaria,1977,8797022.0,Europe,70.81,7612.240438
Bulgaria,1982,8892098.0,Europe,71.08,8224.191647
Bulgaria,1987,8971958.0,Europe,71.34,8239.854824
Bulgaria,1992,8658506.0,Europe,71.19,6302.623438
Bulgaria,1997,8066057.0,Europe,70.32,5970.38876
Bulgaria,2002,7661799.0,Europe,72.14,7696.777725
Bulgaria,2007,7322858.0,Europe,73.005,10680.79282
Canada,1962,18985849.0,Americas,71.3,13462.48555
Canada,1967,20819767.0,Americas,72.13,16076.58803
Canada,1972,22284500.0,Americas,72.88,18970.57086
Canada,1977,23796400.0,Americas,74.21,22090.88306
Canada,1982,25201900.0,Americas,75.76,22898.79214
Canada,1987,26549700.0,Americas,76.86,26626.51503
Canada,1992,28523502.0,Americas,77.95,26342.88426
Canada,1997,30305843.0,Americas,78.61,28954.92589
Canada,2002,31902268.0,Americas,79.77,33328.96507
Canada,2007,33390141.0,Americas,80.653,36319.23501
Chile,1982,11487112.0,Americas,70.565,5095.665738
Chile,1987,12463354.0,Americas,72.492,5547.063754
Chile,1992,13572994.0,Americas,74.126,7596.125964
Chile,1997,14599929.0,Americas,75.816,10118.05318
Chile,2002,15497046.0,Americas,77.86,10778.78385
Chile,2007,16284741.0,Americas,78.553,13171.63885
China,1997,1230075000.0,Asia,70.426,2289.234136
China,2002,1280400000.0,Asia,72.028,3119.280896
China,2007,1318683096.0,Asia,72.961,4959.114854
Colombia,1997,37657830.0,Americas,70.313,6117.361746
Colombia,2002,41008227.0,Americas,71.682,5755.259962
Colombia,2007,44227550.0,Americas,72.889,7006.580419
Costa Rica,1977,2108457.0,Americas,70.75,5926.876967
Costa Rica,1982,2424367.0,Americas,73.45,5262.734751
Costa Rica,1987,2799811.0,Americas,74.752,5629.915318
Costa Rica,1992,3173216.0,Americas,75.713,6160.416317
Costa Rica,1997,3518107.0,Americas,77.26,6677.045314
Costa Rica,2002,3834934.0,Americas,78.123,7723.447195
Costa Rica,2007,4133884.0,Americas,78.782,9645.06142
Croatia,1977,4318673.0,Europe,70.64,11305.38517
Croatia,1982,4413368.0,Europe,70.46,13221.82184
Croatia,1987,4484310.0,Europe,71.52,13822.58394
Croatia,1992,4494013.0,Europe,72.527,8447.794873
Croatia,1997,4444595.0,Europe,73.68,9875.604515
Croatia,2002,4481020.0,Europe,74.876,11628.38895
Croatia,2007,4493312.0,Europe,75.748,14619.22272
Cuba,1972,8831348.0,Americas,70.723,5305.445256
Cuba,1977,9537988.0,Americas,72.649,6380.494966
Cuba,1982,9789224.0,Americas,73.717,7316.918107
Cuba,1987,10239839.0,Americas,74.174,7532.924763
Cuba,1992,10723260.0,Americas,74.414,5592.843963
Cuba,1997,10983007.0,Americas,76.151,5431.990415
Cuba,2002,11226999.0,Americas,77.158,6340.646683
Cuba,2007,11416987.0,Americas,78.273,8948.102923
Czech Republic,1967,9835109.0,Europe,70.38,11399.44489
Czech Republic,1972,9862158.0,Europe,70.29,13108.4536
Czech Republic,1977,10161915.0,Europe,70.71,14800.16062
Czech Republic,1982,10303704.0,Europe,70.96,15377.22855
Czech Republic,1987,10311597.0,Europe,71.58,16310.4434
Czech Republic,1992,10315702.0,Europe,72.4,14297.02122
Czech Republic,1997,10300707.0,Europe,74.01,16048.51424
Czech Republic,2002,10256295.0,Europe,75.51,17596.21022
Czech Republic,2007,10228744.0,Europe,76.486,22833.30851
Denmark,1952,4334000.0,Europe,70.78,9692.385245
Denmark,1957,4487831.0,Europe,71.81,11099.65935
Denmark,1962,4646899.0,Europe,72.35,13583.31351
Denmark,1967,4838800.0,Europe,72.96,15937.21123
Denmark,1972,4991596.0,Europe,73.47,18866.20721
Denmark,1977,5088419.0,Europe,74.69,20422.9015
Denmark,1982,5117810.0,Europe,74.63,21688.04048
Denmark,1987,5127024.0,Europe,74.8,25116.17581
Denmark,1992,5171393.0,Europe,75.33,26406.73985
Denmark,1997,5283663.0,Europe,76.11,29804.34567
Denmark,2002,5374693.0,Europe,77.18,32166.50006
Denmark,2007,5468120.0,Europe,78.332,35278.41874
Dominican Republic,2002,8650322.0,Americas,70.847,4563.808154
Dominican Republic,2007,9319622.0,Americas,72.235,6025.374752
Ecuador,1997,11911819.0,Americas,72.312,7429.455877
Ecuador,2002,12921234.0,Americas,74.173,5773.044512
Ecuador,2007,13755680.0,Americas,74.994,6873.262326
Egypt,2007,80264543.0,Africa,71.338,5581.180998
El Salvador,2002,6353681.0,Americas,70.734,5351.568666
El Salvador,2007,6939688.0,Americas,71.878,5728.353514
Finland,1972,4639657.0,Europe,70.87,14358.8759
Finland,1977,4738902.0,Europe,72.52,15605.42283
Finland,1982,4826933.0,Europe,74.55,18533.15761
Finland,1987,4931729.0,Europe,74.83,21141.01223
Finland,1992,5041039.0,Europe,75.7,20647.16499
Finland,1997,5134406.0,Europe,77.13,23723.9502
Finland,2002,5193039.0,Europe,78.37,28204.59057
Finland,2007,5238460.0,Europe,79.313,33207.0844
France,1962,47124000.0,Europe,70.51,10560.48553
France,1967,49569000.0,Europe,71.55,12999.91766
France,1972,51732000.0,Europe,72.38,16107.19171
France,1977,53165019.0,Europe,73.83,18292.63514
France,1982,54433565.0,Europe,74.89,20293.89746
France,1987,55630100.0,Europe,76.34,22066.44214
France,1992,57374179.0,Europe,77.46,24703.79615
France,1997,58623428.0,Europe,78.64,25889.78487
France,2002,59925035.0,Europe,79.59,28926.03234
France,2007,61083916.0,Europe,80.657,30470.0167
Germany,1962,73739117.0,Europe,70.3,12902.46291
Germany,1967,76368453.0,Europe,70.8,14745.62561
Germany,1972,78717088.0,Europe,71.0,18016.18027
Germany,1977,78160773.0,Europe,72.5,20512.92123
Germany,1982,78335266.0,Europe,73.8,22031.53274
Germany,1987,77718298.0,Europe,74.847,24639.18566
Germany,1992,80597764.0,Europe,76.07,26505.30317
Germany,1997,82011073.0,Europe,77.34,27788.88416
Germany,2002,82350671.0,Europe,78.67,30035.80198
Germany,2007,82400996.0,Europe,79.406,32170.37442
Greece,1967,8716441.0,Europe,71.0,8513.097016
Greece,1972,8888628.0,Europe,72.34,12724.82957
Greece,1977,9308479.0,Europe,73.68,14195.52428
Greece,1982,9786480.0,Europe,75.24,15268.42089
Greece,1987,9974490.0,Europe,76.67,16120.52839
Greece,1992,10325429.0,Europe,77.03,17541.49634
Greece,1997,10502372.0,Europe,77.869,18747.69814
Greece,2002,10603863.0,Europe,78.256,22514.2548
Greece,2007,10706290.0,Europe,79.483,27538.41188
Guatemala,2007,12572928.0,Americas,70.259,5186.050003
Honduras,2007,7483763.0,Americas,70.198,3548.330846
Hong Kong China,1972,4115700.0,Asia,72.0,8315.928145
Hong Kong China,1977,4583700.0,Asia,73.6,11186.14125
Hong Kong China,1982,5264500.0,Asia,75.45,14560.53051
Hong Kong China,1987,5584510.0,Asia,76.2,20038.47269
Hong Kong China,1992,5829696.0,Asia,77.601,24757.60301
Hong Kong China,1997,6495918.0,Asia,80.0,28377.63219
Hong Kong China,2002,6762476.0,Asia,81.495,30209.01516
Hong Kong China,2007,6980412.0,Asia,82.208,39724.97867
Hungary,1997,10244684.0,Europe,71.04,11712.7768
Hungary,2002,10083313.0,Europe,72.59,14843.93556
Hungary,2007,9956108.0,Europe,73.338,18008.94444
Iceland,1952,147962.0,Europe,72.49,7267.688428
Iceland,1957,165110.0,Europe,73.47,9244.001412
Iceland,1962,182053.0,Europe,73.68,10350.15906
Iceland,1967,198676.0,Europe,73.73,13319.89568
Iceland,1972,209275.0,Europe,74.46,15798.06362
Iceland,1977,221823.0,Europe,76.11,19654.96247
Iceland,1982,233997.0,Europe,76.99,23269.6075
Iceland,1987,244676.0,Europe,77.23,26923.20628
Iceland,1992,259012.0,Europe,78.77,25144.39201
Iceland,1997,271192.0,Europe,78.95,28061.09966
Iceland,2002,288030.0,Europe,80.5,31163.20196
Iceland,2007,301931.0,Europe,81.757,36180.78919
Indonesia,2007,223547000.0,Asia,70.65,3540.651564
Iran,2007,69453570.0,Asia,70.964,11605.71449
Ireland,1962,2830000.0,Europe,70.29,6631.597314
Ireland,1967,2900100.0,Europe,71.08,7655.568963
Ireland,1972,3024400.0,Europe,71.28,9530.772896
Ireland,1977,3271900.0,Europe,72.03,11150.98113
Ireland,1982,3480000.0,Europe,73.1,12618.32141
Ireland,1987,3539900.0,Europe,74.36,13872.86652
Ireland,1992,3557761.0,Europe,75.467,17558.81555
Ireland,1997,3667233.0,Europe,76.122,24521.94713
Ireland,2002,3879155.0,Europe,77.783,34077.04939
Ireland,2007,4109086.0,Europe,78.885,40675.99635
Israel,1967,2693585.0,Asia,70.75,8393.741404
Israel,1972,3095893.0,Asia,71.63,12786.93223
Israel,1977,3495918.0,Asia,73.06,13306.61921
Israel,1982,3858421.0,Asia,74.45,15367.0292
Israel,1987,4203148.0,Asia,75.6,17122.47986
Israel,1992,4936550.0,Asia,76.93,18051.52254
Israel,1997,5531387.0,Asia,78.269,20896.60924
Israel,2002,6029529.0,Asia,79.696,21905.59514
Israel,2007,6426679.0,Asia,80.745,25523.2771
Italy,1967,52667100.0,Europe,71.06,10022.40131
Italy,1972,54365564.0,Europe,72.19,12269.27378
Italy,1977,56059245.0,Europe,73.48,14255.98475
Italy,1982,56535636.0,Europe,74.98,16537.4835
Italy,1987,56729703.0,Europe,76.42,19207.23482
Italy,1992,56840847.0,Europe,77.44,22013.64486
Italy,1997,57479469.0,Europe,78.82,24675.02446
Italy,2002,57926999.0,Europe,80.24,27968.09817
Italy,2007,58147733.0,Europe,80.546,28569.7197
Jamaica,1977,2156814.0,Americas,70.11,6650.195573
Jamaica,1982,2298309.0,Americas,71.21,6068.05135
Jamaica,1987,2326606.0,Americas,71.77,6351.237495
Jamaica,1992,2378618.0,Americas,71.766,7404.923685
Jamaica,1997,2531311.0,Americas,72.262,7121.924704
Jamaica,2002,2664659.0,Americas,72.047,6994.774861
Jamaica,2007,2780132.0,Americas,72.567,7320.880262
Japan,1967,100825279.0,Asia,71.43,9847.788607
Japan,1972,107188273.0,Asia,73.42,14778.78636
Japan,1977,113872473.0,Asia,75.38,16610.37701
Japan,1982,118454974.0,Asia,77.11,19384.10571
Japan,1987,122091325.0,Asia,78.67,22375.94189
Japan,1992,124329269.0,Asia,79.36,26824.89511
Japan,1997,125956499.0,Asia,80.69,28816.58499
Japan,2002,127065841.0,Asia,82.0,28604.5919
Japan,2007,127467972.0,Asia,82.603,31656.06806
Jordan,2002,5307470.0,Asia,71.263,3844.917194
Jordan,2007,6053193.0,Asia,72.535,4519.461171
Korea Dem. Rep.,1987,19067554.0,Asia,70.647,4106.492315
Korea Rep.,1992,43805450.0,Asia,72.244,12104.27872
Korea Rep.,1997,46173816.0,Asia,74.647,15993.52796
Korea Rep.,2002,47969150.0,Asia,77.045,19233.98818
Korea Rep.,2007,49044790.0,Asia,78.623,23348.13973
Kuwait,1982,1497494.0,Asia,71.309,31354.03573
Kuwait,1987,1891487.0,Asia,74.174,28118.42998
Kuwait,1992,1418095.0,Asia,75.19,34932.91959
Kuwait,1997,1765345.0,Asia,76.156,40300.61996
Kuwait,2002,2111561.0,Asia,76.904,35110.10566
Kuwait,2007,2505559.0,Asia,77.588,47306.98978
Lebanon,1997,3430388.0,Asia,70.265,8754.96385
Lebanon,2002,3677780.0,Asia,71.028,9313.93883
Lebanon,2007,3921278.0,Asia,71.993,10461.05868
Libya,1997,4759670.0,Africa,71.555,9467.446056
Libya,2002,5368585.0,Africa,72.737,9534.677467
Libya,2007,6036914.0,Africa,73.952,12057.49928
Malaysia,1992,18319502.0,Asia,70.693,7277.912802
Malaysia,1997,20476091.0,Asia,71.938,10132.90964
Malaysia,2002,22662365.0,Asia,73.044,10206.97794
Malaysia,2007,24821286.0,Asia,74.241,12451.6558
Mauritius,1997,1149818.0,Africa,70.736,7425.705295
Mauritius,2002,1200206.0,Africa,71.954,9021.815894
Mauritius,2007,1250882.0,Africa,72.801,10956.99112
Mexico,1992,88111030.0,Americas,71.455,9472.384295
Mexico,1997,95895146.0,Americas,73.67,9767.29753
Mexico,2002,102479927.0,Americas,74.902,10742.44053
Mexico,2007,108700891.0,Americas,76.195,11977.57496
Montenegro,1972,527678.0,Europe,70.636,7778.414017
Montenegro,1977,560073.0,Europe,73.066,9595.929905
Montenegro,1982,562548.0,Europe,74.101,11222.58762
Montenegro,1987,569473.0,Europe,74.865,11732.51017
Montenegro,1992,621621.0,Europe,75.435,7003.339037
Montenegro,1997,692651.0,Europe,75.445,6465.613349
Montenegro,2002,720230.0,Europe,73.981,6557.194282
Montenegro,2007,684736.0,Europe,74.543,9253.896111
Morocco,2007,33757175.0,Africa,71.164,3820.17523
Netherlands,1952,10381988.0,Europe,72.13,8941.571858
Netherlands,1957,11026383.0,Europe,72.99,11276.19344
Netherlands,1962,11805689.0,Europe,73.23,12790.84956
Netherlands,1967,12596822.0,Europe,73.82,15363.25136
Netherlands,1972,13329874.0,Europe,73.75,18794.74567
Netherlands,1977,13852989.0,Europe,75.24,21209.0592
Netherlands,1982,14310401.0,Europe,76.05,21399.46046
Netherlands,1987,14665278.0,Europe,76.83,23651.32361
Netherlands,1992,15174244.0,Europe,77.42,26790.94961
Netherlands,1997,15604464.0,Europe,78.03,30246.13063
Netherlands,2002,16122830.0,Europe,78.53,33724.75778
Netherlands,2007,16570613.0,Europe,79.762,36797.93332
New Zealand,1957,2229407.0,Oceania,70.26,12247.39532
New Zealand,1962,2488550.0,Oceania,71.24,13175.678
New Zealand,1967,2728150.0,Oceania,71.52,14463.91893
New Zealand,1972,2929100.0,Oceania,71.89,16046.03728
New Zealand,1977,3164900.0,Oceania,72.22,16233.7177
New Zealand,1982,3210650.0,Oceania,73.84,17632.4104
New Zealand,1987,3317166.0,Oceania,74.32,19007.19129
New Zealand,1992,3437674.0,Oceania,76.33,18363.32494
New Zealand,1997,3676187.0,Oceania,77.55,21050.41377
New Zealand,2002,3908037.0,Oceania,79.11,23189.80135
New Zealand,2007,4115771.0,Oceania,80.204,25185.00911
Nicaragua,2002,5146848.0,Americas,70.836,2474.548819
Nicaragua,2007,5675356.0,Americas,72.899,2749.320965
Norway,1952,3327728.0,Europe,72.67,10095.42172
Norway,1957,3491938.0,Europe,73.44,11653.97304
Norway,1962,3638919.0,Europe,73.47,13450.40151
Norway,1967,3786019.0,Europe,74.08,16361.87647
Norway,1972,3933004.0,Europe,74.34,18965.05551
Norway,1977,4043205.0,Europe,75.37,23311.34939
Norway,1982,4114787.0,Europe,75.97,26298.63531
Norway,1987,4186147.0,Europe,75.89,31540.9748
Norway,1992,4286357.0,Europe,77.32,33965.66115
Norway,1997,4405672.0,Europe,78.32,41283.16433
Norway,2002,4535591.0,Europe,79.05,44683.97525
Norway,2007,4627926.0,Europe,80.196,49357.19017
Oman,1992,1915208.0,Asia,71.197,18616.70691
Oman,1997,2283635.0,Asia,72.499,19702.05581
Oman,2002,2713462.0,Asia,74.193,19774.83687
Oman,2007,3204897.0,Asia,75.64,22316.19287
Panama,1982,2036305.0,Americas,70.472,7009.601598
Panama,1987,2253639.0,Americas,71.523,7034.779161
Panama,1992,2484997.0,Americas,72.462,6618.74305
Panama,1997,2734531.0,Americas,73.738,7113.692252
Panama,2002,2990875.0,Americas,74.712,7356.031934
Panama,2007,3242173.0,Americas,75.537,9809.185636
Paraguay,2002,5884491.0,Americas,70.755,3783.674243
Paraguay,2007,6667147.0,Americas,71.752,4172.838464
Peru,2007,28674757.0,Americas,71.421,7408.905561
Philippines,2002,82995088.0,Asia,70.303,2650.921068
Philippines,2007,91077287.0,Asia,71.688,3190.481016
Poland,1972,33039545.0,Europe,70.85,8006.506993
Poland,1977,34621254.0,Europe,70.67,9508.141454
Poland,1982,36227381.0,Europe,71.32,8451.531004
Poland,1987,37740710.0,Europe,70.98,9082.351172
Poland,1992,38370697.0,Europe,70.99,7738.881247
Poland,1997,38654957.0,Europe,72.75,10159.58368
Poland,2002,38625976.0,Europe,74.67,12002.23908
Poland,2007,38518241.0,Europe,75.563,15389.92468
Portugal,1977,9662600.0,Europe,70.41,10172.48572
Portugal,1982,9859650.0,Europe,72.77,11753.84291
Portugal,1987,9915289.0,Europe,74.06,13039.30876
Portugal,1992,9927680.0,Europe,74.86,16207.26663
Portugal,1997,10156415.0,Europe,75.97,17641.03156
Portugal,2002,10433867.0,Europe,77.29,19970.90787
Portugal,2007,10642836.0,Europe,78.098,20509.64777
Puerto Rico,1967,2648961.0,Americas,71.1,6929.277714
Puerto Rico,1972,2847132.0,Americas,72.16,9123.041742
Puerto Rico,1977,3080828.0,Americas,73.44,9770.524921
Puerto Rico,1982,3279001.0,Americas,73.75,10330.98915
Puerto Rico,1987,3444468.0,Americas,74.63,12281.34191
Puerto Rico,1992,3585176.0,Americas,73.911,14641.58711
Puerto Rico,1997,3759430.0,Americas,74.917,16999.4333
Puerto Rico,2002,3859606.0,Americas,77.778,18855.60618
Puerto Rico,2007,3942491.0,Americas,78.746,19328.70901
Reunion,1987,562035.0,Africa,71.913,5303.377488
Reunion,1992,622191.0,Africa,73.615,6101.255823
Reunion,1997,684810.0,Africa,74.772,6071.941411
Reunion,2002,743981.0,Africa,75.744,6316.1652
Reunion,2007,798094.0,Africa,76.442,7670.122558
Romania,2002,22404337.0,Europe,71.322,7885.360081
Romania,2007,22276056.0,Europe,72.476,10808.47561
Saudi Arabia,1997,21229759.0,Asia,70.533,20586.69019
Saudi Arabia,2002,24501530.0,Asia,71.626,19014.54118
Saudi Arabia,2007,27601038.0,Asia,72.777,21654.83194
Serbia,1977,8686367.0,Europe,70.3,12980.66956
Serbia,1982,9032824.0,Europe,70.162,15181.0927
Serbia,1987,9230783.0,Europe,71.218,15870.87851
Serbia,1992,9826397.0,Europe,71.659,9325.068238
Serbia,1997,10336594.0,Europe,72.232,7914.320304
Serbia,2002,10111559.0,Europe,73.213,7236.075251
Serbia,2007,10150265.0,Europe,74.002,9786.534714
Singapore,1977,2325300.0,Asia,70.795,11210.08948
Singapore,1982,2651869.0,Asia,71.76,15169.16112
Singapore,1987,2794552.0,Asia,73.56,18861.53081
Singapore,1992,3235865.0,Asia,75.788,24769.8912
Singapore,1997,3802309.0,Asia,77.158,33519.4766
Singapore,2002,4197776.0,Asia,78.77,36023.1054
Singapore,2007,4553009.0,Asia,79.972,47143.17964
Slovak Republic,1962,4237384.0,Europe,70.33,7481.107598
Slovak Republic,1967,4442238.0,Europe,70.98,8412.902397
Slovak Republic,1972,4593433.0,Europe,70.35,9674.167626
Slovak Republic,1977,4827803.0,Europe,70.45,10922.66404
Slovak Republic,1982,5048043.0,Europe,70.8,11348.54585
Slovak Republic,1987,5199318.0,Europe,71.08,12037.26758
Slovak Republic,1992,5302888.0,Europe,71.38,9498.467723
Slovak Republic,1997,5383010.0,Europe,72.71,12126.23065
Slovak Republic,2002,5410052.0,Europe,73.8,13638.77837
Slovak Republic,2007,5447502.0,Europe,74.663,18678.31435
Slovenia,1977,1746919.0,Europe,70.97,15277.03017
Slovenia,1982,1861252.0,Europe,71.063,17866.72175
Slovenia,1987,1945870.0,Europe,72.25,18678.53492
Slovenia,1992,1999210.0,Europe,73.64,14214.71681
Slovenia,1997,2011612.0,Europe,75.13,17161.10735
Slovenia,2002,2011497.0,Europe,76.66,20660.01936
Slovenia,2007,2009245.0,Europe,77.926,25768.25759
Spain,1967,32850275.0,Europe,71.44,7993.512294
Spain,1972,34513161.0,Europe,73.06,10638.75131
Spain,1977,36439000.0,Europe,74.39,13236.92117
Spain,1982,37983310.0,Europe,76.3,13926.16997
Spain,1987,38880702.0,Europe,76.9,15764.98313
Spain,1992,39549438.0,Europe,77.57,18603.06452
Spain,1997,39855442.0,Europe,78.77,20445.29896
Spain,2002,40152517.0,Europe,79.78,24835.47166
Spain,2007,40448191.0,Europe,80.941,28821.0637
Sri Lanka,1992,17587060.0,Asia,70.379,2153.739222
Sri Lanka,1997,18698655.0,Asia,70.457,2664.477257
Sri Lanka,2002,19576783.0,Asia,70.815,3015.378833
Sri Lanka,2007,20378239.0,Asia,72.396,3970.095407
Sweden,1952,7124673.0,Europe,71.86,8527.844662
Sweden,1957,7363802.0,Europe,72.49,9911.878226
Sweden,1962,7561588.0,Europe,73.37,12329.44192
Sweden,1967,7867931.0,Europe,74.16,15258.29697
Sweden,1972,8122293.0,Europe,74.72,17832.02464
Sweden,1977,8251648.0,Europe,75.44,18855.72521
Sweden,1982,8325260.0,Europe,76.42,20667.38125
Sweden,1987,8421403.0,Europe,77.19,23586.92927
Sweden,1992,8718867.0,Europe,78.16,23880.01683
Sweden,1997,8897619.0,Europe,79.39,25266.59499
Sweden,2002,8954175.0,Europe,80.04,29341.63093
Sweden,2007,9031088.0,Europe,80.884,33859.74835
Switzerland,1957,5126000.0,Europe,70.56,17909.48973
Switzerland,1962,5666000.0,Europe,71.32,20431.0927
Switzerland,1967,6063000.0,Europe,72.77,22966.14432
Switzerland,1972,6401400.0,Europe,73.78,27195.11304
Switzerland,1977,6316424.0,Europe,75.39,26982.29052
Switzerland,1982,6468126.0,Europe,76.21,28397.71512
Switzerland,1987,6649942.0,Europe,77.41,30281.70459
Switzerland,1992,6995447.0,Europe,78.03,31871.5303
Switzerland,1997,7193761.0,Europe,79.37,32135.32301
Switzerland,2002,7361757.0,Europe,80.62,34480.95771
Switzerland,2007,7554661.0,Europe,81.701,37506.41907
Syria,1997,15081016.0,Asia,71.527,4014.238972
Syria,2002,17155814.0,Asia,73.053,4090.925331
Syria,2007,19314747.0,Asia,74.143,4184.548089
Taiwan,1977,16785196.0,Asia,70.59,5596.519826
Taiwan,1982,18501390.0,Asia,72.16,7426.354774
Taiwan,1987,19757799.0,Asia,73.4,11054.56175
Taiwan,1992,20686918.0,Asia,74.26,15215.6579
Taiwan,1997,21628605.0,Asia,75.25,20206.82098
Taiwan,2002,22454239.0,Asia,76.99,23235.42329
Taiwan,2007,23174294.0,Asia,78.4,28718.27684
Thailand,2007,65068149.0,Asia,70.616,7458.396327
Tunisia,1992,8523077.0,Africa,70.001,4332.720164
Tunisia,1997,9231669.0,Africa,71.973,4876.798614
Tunisia,2002,9770575.0,Africa,73.042,5722.895655
Tunisia,2007,10276158.0,Africa,73.923,7092.923025
Turkey,2002,67308928.0,Europe,70.845,6508.085718
Turkey,2007,71158647.0,Europe,71.777,8458.276384
United Kingdom,1957,51430000.0,Europe,70.42,11283.17795
United Kingdom,1962,53292000.0,Europe,70.76,12477.17707
United Kingdom,1967,54959000.0,Europe,71.36,14142.85089
United Kingdom,1972,56079000.0,Europe,72.01,15895.11641
United Kingdom,1977,56179000.0,Europe,72.76,17428.74846
United Kingdom,1982,56339704.0,Europe,74.04,18232.42452
United Kingdom,1987,56981620.0,Europe,75.007,21664.78767
United Kingdom,1992,57866349.0,Europe,76.42,22705.09254
United Kingdom,1997,58808266.0,Europe,77.218,26074.53136
United Kingdom,2002,59912431.0,Europe,78.471,29478.99919
United Kingdom,2007,60776238.0,Europe,79.425,33203.26128
United States,1962,186538000.0,Americas,70.21,16173.14586
United States,1967,198712000.0,Americas,70.76,19530.36557
United States,1972,209896000.0,Americas,71.34,21806.03594
United States,1977,220239000.0,Americas,73.38,24072.63213
United States,1982,232187835.0,Americas,74.65,25009.55914
United States,1987,242803533.0,Americas,75.02,29884.35041
United States,1992,256894189.0,Americas,76.09,32003.93224
United States,1997,272911760.0,Americas,76.81,35767.43303
United States,2002,287675526.0,Americas,77.31,39097.09955
United States,2007,301139947.0,Americas,78.242,42951.65309
Uruguay,1982,2953997.0,Americas,70.805,6920.223051
Uruguay,1987,3045153.0,Americas,71.918,7452.398969
Uruguay,1992,3149262.0,Americas,72.752,8137.004775
Uruguay,1997,3262838.0,Americas,74.223,9230.240708
Uruguay,2002,3363085.0,Americas,75.307,7727.002004
Uruguay,2007,3447496.0,Americas,76.384,10611.46299
Venezuela,1987,17910182.0,Americas,70.19,9883.584648
Venezuela,1992,20265563.0,Americas,71.15,10733.92631
Venezuela,1997,22374398.0,Americas,72.146,10165.49518
Venezuela,2002,24287670.0,Americas,72.766,8605.047831
Venezuela,2007,26084662.0,Americas,73.747,11415.80569
Vietnam,1997,76048996.0,Asia,70.672,1385.896769
Vietnam,2002,80908147.0,Asia,73.017,1764.456677
Vietnam,2007,85262356.0,Asia,74.249,2441.576404
West Bank and Gaza,1997,2826046.0,Asia,71.096,7110.667619
West Bank and Gaza,2002,3389578.0,Asia,72.37,4515.487575
West Bank and Gaza,2007,4018332.0,Asia,73.422,3025.349798
